
A, AGREEMENTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,
A,Subtotal,,,"131,641,269.08"," 6,021,493.00 ", -   , -   ," 137,662,762.08 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,211,066.10 "," 3,248,001.30 ", -   ," 2,758,811.02 "," 2,560,422.02 ", -   , -   ," 2,672,978.61 "," 11,697,348.61 "," 1,101,220.46 "," 3,718,834.74 "," 3,349,349.73 "," 969,938.55 "," 2,499,966.80 "," 3,358,923.44 "," 3,260,937.74 ", -   , -   , -   , -   , -   , -   , -   ," 42,407,799.12 "," 95,254,962.96 ",
, SERVICE PROVIDER AGREEMENTS UNDER LPO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,
1, Global Technical Solutions , PO No. 124014 Rev 1 , MEP Drawing Production , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 255,895.00 ", -   ," 317,020.60 ", -   , -   ," 226,134.40 ", -   , -   ," 394,471.00 "," 185,858.00 "," 112,550.00 "," 165,085.00 ", -   , -   ," 369,211.00 ", -   ," 373,600.00 "," 54,576.00 ", -   ," 148,613.00 "," 54,900.00 ", -   , -   , -   , -   , -   , -   ,," 2,657,914.00 "," (2,657,914.00)", -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 255,895.00 ", -   ," 317,020.60 ", -   , -   ," 226,134.40 ", -   , -   ," 394,471.00 "," 185,858.00 "," 112,550.00 "," 165,085.00 ", -   , -   ," 369,211.00 ", -   ," 373,600.00 "," 54,576.00 ", -   ," 148,613.00 "," 54,900.00 ", -   , -   , -   , -   , -   , -   , -   ," 2,657,914.00 "," (2,657,914.00)",
, ENGINEERING SERVICE PROVIDER AGREEMENTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,
1, Virtual Projects , CON/QAT/J56/SER/001 , BIM Production Services ," 10,000,000.00 ", -   , -   , -   ," 10,000,000.00 ", -   , -   , -   , -   , -   ," 445,392.00 ", -   ," 556,392.00 ", -   , -   ," 594,680.00 ", -   , -   ," 374,160.00 ", -   ," 349,784.00 ", -   , -   , -   , -   , -   ," 174,128.00 "," 146,496.00 ", -   ," 60,192.00 ", -   , -   , -   ," 248,776.00 ", -   , -   , -   , -   , -   , -   ,," 2,950,000.00 "," 7,050,000.00 ", -   
2, Shaker Consultancy Group , CON/QAT/J56/SER/002 , Engineering Service Provider ," 3,340,000.00 "," 1,759,310.00 ", -   , -   ," 5,099,310.00 ", -   , -   , -   , -   , -   , -   ," 518,000.00 ", -   ," 526,627.20 "," 1,096,992.92 ", -   ," 563,068.70 ", -   ," 997,629.18 ", -   , -   , -   , -   ," 511,697.20 ", -   , -   ," 361,500.00 ", -   , -   , -   ," 200,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ,," 4,775,515.20 "," 323,794.80 ", -   
3, WSP / Parsons Brinckerhoff , CON/QAT/J56/SER/005 , Acoustic Designer ," 200,000.00 "," 7,500.00 ", -   , -   ," 207,500.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 57,500.00 ", -   , -   , -   , -   , -   , -   , -   ," 89,000.00 ", -   , -   , -   , -   , -   , -   ,," 146,500.00 "," 61,000.00 ",
4, Light Concept for Lighting L.L.C. , CON/QAT/J56/SER/006 , Internal Lighting Design - Hotel Tower ," 110,000.00 ", -   , -   ," 18,000.00 "," 128,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 31,000.00 ", -   , -   , -   ," 30,000.00 ", -   , -   ," 30,000.00 ", -   ," 25,000.00 ", -   , -   , -   , -   , -   , -   ,," 116,000.00 "," 12,000.00 ",
5, Renoir Consulting L.L.C. , CON/RENOIR/J56/SER/007 , Productivity Improvement In Site ," 5,900,000.00 ", -   , -   , -   ," 5,900,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 916,534.00 "," 723,312.00 "," 723,312.00 "," 973,312.00 "," 723,312.00 ",,,,,,,," 4,059,782.00 "," 1,840,218.00 ",
6, Qatar Design Consortium , CON/QDC/J56/SER/006 , Performance of Cunsultancy Services ," 287,000.00 "," 19,600.00 ", -   , -   ," 306,600.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 77,000.00 ", -   ," 75,000.00 ",,,,,,,," 152,000.00 "," 154,600.00 ",
,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   ,
 B , VALUE,,," 19,837,000.00 "," 1,786,410.00 ", -   ," 18,000.00 "," 21,641,410.00 ", -   , -   , -   , -   , -   ," 445,392.00 "," 518,000.00 "," 556,392.00 "," 526,627.20 "," 1,096,992.92 "," 594,680.00 "," 563,068.70 ", -   ," 1,371,789.18 ", -   ," 349,784.00 ", -   , -   ," 511,697.20 "," 31,000.00 "," 57,500.00 "," 535,628.00 "," 146,496.00 "," 30,000.00 "," 976,726.00 "," 923,312.00 "," 830,312.00 "," 973,312.00 "," 1,161,088.00 ", -   , -   , -   , -   , -   , -   , -   ," 12,199,797.20 "," 9,441,612.80 ",
, FABRICATION AND SUPPLY OF FIRE RATED DOCTWORK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Seagull Electromechanical Works , J56-DOMUD-SUB-M-001 , Fabrication and Supply of Fire Rated Ductwork ," 1,367,206.00 "," 1,872,244.00 ", -   , -   ," 3,239,450.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 135,846.04 "," 102,315.18 "," 211,332.45 "," 8,917.45 "," 154,127.15 "," 273,033.88 "," 471,912.30 "," 520,482.14 "," 162,205.88 "," 559,780.35 "," 150,852.62 "," 96,863.63 ", -   , -   , -   , -   , -   , -   ,," 2,040,172.47 "," 1,199,277.53 ",
2, Central Ventilation System Co. W.L.L. , OASIS-SUP-M-015 , Fabrication and Supply of Fire Rated Ductwork ," 2,289,604.00 ", -   , -   , -   ," 2,289,604.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 308,104.69 "," 165,448.88 "," 319,318.87 "," 155,755.74 ", -   , -   , -   , -   , -   , -   ,," 308,104.69 "," 1,981,499.31 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," 3,656,810.00 "," 1,872,244.00 ", -   , -   ," 5,529,054.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 135,846.04 "," 102,315.18 "," 211,332.45 "," 8,917.45 "," 154,127.15 "," 273,033.88 "," 471,912.30 "," 520,482.14 "," 470,310.57 "," 725,229.23 "," 470,171.49 "," 252,619.37 ", -   , -   , -   , -   , -   , -   , -   ," 2,348,277.16 "," 3,180,776.84 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 T, TOTAL Per Month (QAR) ,,,," 155,135,079.08 "," 9,680,147.00 ", -   ," 18,000.00 "," 164,833,226.08 ", -   , -   , -   , -   , -   ," 445,392.00 "," 518,000.00 "," 556,392.00 "," 782,522.20 "," 1,096,992.92 "," 911,700.60 "," 563,068.70 ", -   ," 2,808,989.68 "," 3,248,001.30 "," 349,784.00 "," 3,153,282.02 "," 2,882,126.06 "," 726,562.38 "," 407,417.45 "," 2,739,396.06 "," 12,387,103.76 "," 1,889,961.34 "," 4,220,747.04 "," 5,220,157.87 "," 2,418,137.12 "," 4,055,508.03 "," 4,951,019.93 "," 4,729,545.11 ", -   , -   , -   , -   , -   , -   , -   ," 59,613,787.48 "," 105,219,438.60 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
