code,descr1,desc2                    
E6442     ,LAMPS               ,LAMPS (ELECTRICAL)                                          
E6445     ,DIMMER CONTROL SYS  ,DIMMER CONTROL SYSTEM (ELECTRICAL)                          
E6446     ,LIGHTING CONTROL SYS,LIGHTING CONTROL SYSTEM (ELECTRICAL)                        
E6450     ,AIR FIELD LIGHTING  ,AIR FIELD LIGHTING FIXTURES (ELECTRICAL)                    
E6451     ,TAXI / RUNWAY SIGNS ,TAXI / RUNWAY SIGNS (ELECTRICAL)                            
E6452     ,PRECI. APP. PATH    ,PRECI. APP. PATH INDICATORS (ELECTRICAL)                    
E6453     ,AIRCRAFT WARNING    ,AIRCRAFT WARNING LIGHTS (ELECTRICAL)                        
E6457     ,RUNWAY PAVE. SEAL.  ,RUNWAY PAVE. SEAL. ADHESIVE (ELECTRICAL)                    
E6458     ,CONSTANT CURRENT REG,CONSTANT CURRENT REGULATOR (ELECTRICAL)                     
E6459     ,AIRFIELD LRC.SY MDB ,AIRFIELD L.R.C.SY.MAIN PANELS (ELECTRICAL)                  
E6460     ,WIND CONES          ,WIND CONES (ELECTRICAL)                                     
E6461     ,WIND TEE            ,WIND TEE (ELECTRICAL)                                       
E6500     ,SYSS EQUIPMENT      ,SYSTEMS EQUIPMENT (ELECTRICAL)                              
E6501     ,FIRE ALARM SYSS EQP.,FIRE ALARM SYSTEMS EQUIPMENT (ELECTRICAL)                   
E6502     ,FIRE ALARM PANELS   ,FIRE ALARM CONTROL PANELS (ELECTRICAL)                      
E6503     ,SMOKE DETECTOR      ,SMOKE DETECTOR (ELECTRICAL)                                 
E6504     ,FIRE DETECTOR       ,FIRE DETECTOR (ELECTRICAL)                                  
E6505     ,MANUAL PULL STATION ,MANUAL PULL STATION (ELECTRICAL)                            
E6506     ,AV ALARM U.         ,AUDIO AND VISUAL ALARM U. (ELECTRICAL)                      
E6507     ,STRUCTURE CABLING   ,STRUCTURE CABLING (ELECTRICAL)                              
E6508     ,TELEP. IP SYS (TOIP),TELEPHONE OVER IP SYSTEM (TOIP) (ELECTRICAL)                
E6509     ,IP TV SYS (IPTV)    ,IP TELEVISION SYSTEM (IPTV) (ELECTRICAL)                    
E6510     ,MASTER CLOCK SYS    ,MASTER CLOCK & PRO. SYSTEM EQP. (ELECTRICAL)                
E6511     ,PLUG-IN CLOCKS      ,PLUG-IN CLOCKS (ELECTRICAL)                                 
E6520     ,TELEPHONE SYS EQP   ,TELEPHONE SYSTEM EQUIPMENT (ELECTRICAL)                     
E6521     ,TELEPHONE SETS      ,TELEPHONE SETS (ELECTRICAL)                                 
E6522     ,VIDEO DOOR PHONE    ,VIDEO DOOR PHONE (ELECTRICAL)                               
E6523     ,PV MOBILE RADIO SYS ,PRIVATE MOBILE RADIO SYSTEM (ELECTRICAL)                    
E6524     ,EX PROOF TELEPHONES ,EXPLOSION PROOF TELEPHONES (ELECTRICAL)                     
E6525     ,INTERCOM SYS        ,INTERCOM SYSTEM (ELECTRICAL)                                
E6526     ,INTERCOM MASTER STN ,INTERCOM MASTER STATION (ELECTRICAL)                        
E6527     ,LANGUAGE LAB EQP    ,LANGUAGE LABORATORY EQUIPMENT (ELECTRICAL)                  
E6528     ,INTERCOM CONTROLLER ,INTERCOM CONTROLLER (ELECTRICAL)                            
E6530     ,PUBLIC ADDRESS SYS  ,PUBLIC ADDRESS SYSTEM EQUIPMENT (ELECTRICAL)                
E6535     ,AUDIO VISUAL SYS    ,AUDIO VISUAL SYSTEM (ELECTRICAL)                            
E6536     ,HOME AUTOMATION     ,HOME AUTOMATION (ELECTRICAL)                                
E6537     ,MOTION DETECTORS    ,MOTION DETECTORS (ELECTRICAL)                               
E6540     ,TV / RADIO SYSS EQP ,TV / RADIO SYSTEMS EQUIPMENT (ELECTRICAL)                   
E6541     ,MASTER ANTENNA      ,MASTER ANTENNA (SMATV) (ELECTRICAL)                         
E6543     ,WIRELESS ANTENNA    ,WIRELESS ANTENNA                                            
E6545     ,PROJECTION EQUIPMENT,PROJECTION EQUIPMENT (ELECTRICAL)                           
E6550     ,BURGLAR ALARM SYSS  ,BURGLAR ALARM SYSTEMS EQUIPMENT (ELECTRICAL)                
E6554     ,CAR PARK MANAGEMENT ,CAR PARK MANAGEMENT  (ELECTRICAL)                           
E6555     ,CARD ACCESS CONTROL ,CARD ACCESS CONTROL (ELECTRICAL)                            
E6556     ,CCTV SYS            ,CCTV SYSTEM (ELECTRICAL)                                    
E6557     ,PNEUMATIC TUBE SYS  ,PNEUMATIC TUBE SYSTEM (ELECTRICAL)                          
E6560     ,CALL SYSS EQUIPMENT ,CALL SYSTEMS EQUIPMENT (ELECTRICAL)                         
E6565     ,WIRELESS PAG.S      ,SIGNALING WIRELESS PAG.S (ELECTRICAL)                       
E6570     ,MALFUN. SECU. & A.S.,MALFUN. SECU. ANNUNTOR & A.S. (ELECTRICAL)                  
E6571     ,REMOTE HAZARD IND   ,REMOTE HAZARD INDICATOR ALARM (ELECTRICAL)                  
E6575     ,BOOK DETECTION SYS  ,BOOK DETECTION SYSTEM (ELECTRICAL)                          
E6579     ,DATA NETWORK & WIFI ,DATA NETWORK EQUIP. & WIRELESS LAN (ELECTRICAL)             
E6580     ,SCOREBOARDS         ,SCOREBOARDS (ELECTRICAL)                                    
E6581     ,CUSS SYS            ,COMMON USE OF SELF SERVICE (CUSS) (ELECTRICAL)              
E6582     ,CUPPS SYS           ,COMMON USE OF PASSENGER PROCESSING SYS (CUPPS) (ELECTRICAL) 
E6585     ,COMPUTER & ACC'S    ,COMPUTER & ACC'S (ELECTRICAL)                               
E6586     ,SCADA SYS           ,SCADA SYSTEM (ELECTRICAL)                                   
E6587     ,AIRCRAFT SERV PITS  ,AIRCRAFT SERVICE PITS (ELECTRICAL)                          
E6590     ,SPL. SIGNAL CON. SYS,SPL. SIGNAL CONTROL SYSTEM (ELECTRICAL)                     
E6591     ,AODB SYS            ,AIRPORT OPERATIONS DATA BASE (AODB) (ELECTRICAL)            
E6592     ,IASS SYS            ,INTERGRATED AIRCRAFT STAND SYSTEM (IASS) (ELECTRICAL)       
E6593     ,RMS SYS             ,RESOURCE MANAGEMENT SYSTEM (RMS) (ELECTRICAL)               
E6594     ,THERMAL ENERGY METER,THERMAL ENERGY METER (ELECTRICAL)                           
E6595     ,BMS                 ,BUILDING MANAGEMENT SYSTEM (ELECTRICAL)                     
E6596     ,VGDS SYS            ,VISUAL GUIDANCE DOCKING SYSTEM (VGDS) (ELECTRICAL)          
E6597     ,400Hz GPU           ,400HZ GROUND POWER SYSTEM (ELECTRICAL)                      
E6598     ,FIDS SYS            ,FLIGHT INFO DISPLAY SYSTEM (FIDS) (ELECTRICAL)              
E6599     ,INFORMATION KIOSK   ,INFORMATION KIOSK (ELECTRICAL)                              
E6600     ,GENERATORS EQP      ,GENERATORS & RELATED EQUIPMENT (ELECTRICAL)                 
E6601     ,GENERATORS ACCS     ,GENERATORS MECHANICAL ACC'S (ELECTRICAL)                    
E6602     ,GENERATORS ELC ACC'S,GENERATORS ELECTRICAL ACC'S (ELECTRICAL)                    
E6603     ,GROUND POWER UNITS  ,GROUND POWER UNITS                                          
E6610     ,ATS                 ,AUTO-TRANSFER SWITCHES (ELECTRICAL)                         
E6625     ,BATTERIES           ,BATTERIES (ELECTRICAL)                                      
E6626     ,CENTRAL BATTERY SYS ,CENTRAL BATTERY SYSTEM (ELECTRICAL)                         
E6650     ,UPS                 ,UNINTER. POWER SUPPLY SYSTEM (ELECTRICAL)                   
E6660     ,BED HEAD UNITS      ,BED HEAD UNITS (ELECTRICAL)                                 
E6661     ,PHOTOCELLS          ,PHOTOCELLS (ELECTRICAL)                                     
E6700     ,ELEC DIST SYS EQUIP.,ELECTRICAL DISTR. SYSTEMS EQUIPMENT (ELECTRICAL)            
E6701     ,HV SWITCHGEARS      ,H.V. METAL ENCLOSURE SWITCHGEARS (ELECTRICAL)               
E6702     ,HV METAL ENCL SWITCH,H.V. METAL ENCLOSURE SWITCH PM. (ELECTRICAL)                
E6703     ,KWH METER ENCLOSURE ,KWH METER ENCLOSURE (ELECTRICAL)                            
E6704     ,PACKAGE SUBSTATION  ,PACKAGE SUBSTATION (ELECTRICAL)                             
E6706     ,POWER XFORMERS      ,POWER XFORMERS PADM. (O/DR) (ELECTRICAL)                    
E6707     ,DRY TYPE TRANSFORMER,DRY TYPE TRANSFORMERS (ELECTRICAL)                          
E6710     ,L.V. FEEDER PILLARS ,L.V. FEEDER PILLARS / PEDLS (ELECTRICAL)                    
E6715     ,H.V. AUTOMATION SYS ,H.V. AUTOMATION SYSTEM (ELECTRICAL)                         
E6720     ,BUSWAY / BUSBAR SYSS,BUSWAY / BUSBAR SYSTEMS (ELECTRICAL)                        
E6730     ,POWER METERS        ,POWER METERS (ELECTRICAL)                                   
E6740     ,VOLTAGE REGULATORS  ,VOLTAGE REGULATORS (ELECTRICAL)                             
E6750     ,GROUNDING & LIGHNG. ,GROUNDING & LTG PROTECTION SYSTEM (ELECTRICAL)              
E6751     ,GROUNDING REELS     ,GROUNDING REELS (ELECTRICAL)                                
E6760     ,CATHODIC PROTECTION ,CATHODIC PROTECTION (ELECTRICAL)                            
E6800     ,WIRING ACCESSORIES  ,WIRING ACCESSORIES (ELECTRICAL)                             
E6801     ,MOBILE X-RAY RECEPT.,MOBILE X-RAY RECEPTACLE (ELECTRICAL)                        
E6802     ,ISOLATORS           ,ISOLATORS (ELECTRICAL)                                      
E6803     ,EX. WIRRING ACCESS. ,EXPLOSION PROOF WIRRING ACCESSORIES (ELECTRICAL)            
E6804     ,SPARK PROOF W. ACCS.,SPARK PROOF WIRRING ACCESSORIES (ELECTRICAL)                
E6810     ,GOLD PLATED W. ACCS.,GOLD PLATED WIRING ACC'S (ELECTRICAL)                       
E6820     ,"BELLS, BUZZ. & CHIME","BELLS, BUZZ. & CHIME DEVICES (ELECTRICAL)                   "
E6900     ,EL. APPLIA/MOTORS   ,EL. APPLIANCES & MOTORS (ELECTRICAL)                        
E6901     ,LIFTS & ELEVATORS   ,ELECTRIC LIFTS & ELEVATORS (ELECTRICAL)                     
E6910     ,HAND DRYERS         ,HAND DRYERS (ELECTRICAL)                                    
E6915     ,ELEC. INSECT KILLERS,ELECTRIC INSECT KILLERS (ELECTRICAL)                        
E6920     ,REFRIGERATORS       ,REFRIGERATORS (ELECTRICAL)                                  
E6925     ,WATER COOLERS       ,WATER COOLERS (ELECTRICAL)                                  
E6930     ,DRINKING FOUNTAIN   ,CENTL. CHILL. F. DRINKING FOUNTAIN (ELECTRICAL)             
E6940     ,ELECTRICAL MATTING  ,ELECTRICAL MATTING (ELECTRICAL)                             
E7000     ,POLES               ,POLES (ELECTRICAL)                                          
E7005     ,OVERHEAD WORK PLATF.,OVERHEAD WORK PLATFORM (ELECTRICAL)                         
E7010     ,POLES STEEL         ,POLES STEEL (ELECTRICAL)                                    
E7011     ,MASTS STEEL         ,MASTS STEEL (ELECTRICAL)                                    
E7020     ,POLES ALUMINIUM     ,POLES ALUMINIUM (ELECTRICAL)                                
E7030     ,POLES WOODEN        ,POLES WOODEN (ELECTRICAL)                                   
E7035     ,POLES FIBREGLASS    ,POLES FIBREGLASS (ELECTRICAL)                               
E7038     ,RELAMPING POLES     ,RELAMPING POLES (ELECTRICAL)                                
E7040     ,POLES SAUNDRIES     ,POLES SAUNDRIES (ELECTRICAL)                                
E8000     ,TRAFFIC BARRIER     ,TRAFFIC BARRIER (ELECTRICAL)                                
E9400     ,TEST EQUIPMENT EL.  ,TEST EQUIPMENT EL. (ELECTRICAL)                             
E9500     ,ELECTRICAL TOOLS    ,ELECTRICAL TOOLS (ELECTRICAL)                               
G0000     ,GARAGE SPARE PARTS  ,GARAGE SPARE PARTS TOOLS AND EQUIPMENT (GARAGE)             
G1000     ,VEHICLES SPARE PARTS,VEHICLES SPARE PARTS (GARAGE)                               
G1500     ,PLANT SPARE PARTS   ,PLANT SPARE PARTS (GARAGE)                                  
G1600     ,GARAGE TOOL & EQUIP.,GARAGE TOOLS AND EQUIPMENT (GARAGE)                         
G8450.1   ,IDENF. OF SERV HVAC ,IDENTIFICATION OF SERVICES (HVAC)                           
G8450.2   ,IDENF. OF SERV PLM  ,IDENTIFICATION OF SERVICES (PLUMBING)                       
G8450.3   ,IDENF. OF SERV EL   ,IDENTIFICATION OF SERVICES (ELECTRICAL)                     
G9101     ,TESTING & COMMISION ,TESTING & COMMISIONING (GENERAL)                            
G9102     ,O&M MANUALS         ,O&M MANUALS (GENERAL)                                       
G9103     ,TRAINING            ,TRAINING (GENERAL)                                          
G9104     ,COMMISSION MANAGMENT,COMMISSIONING MANAGMENT  (GENERAL)                          
G9200     ,"WKSP,STR,SHED & YARD","WORKSHOP, STORES, SHEDS & OPEN YARDS (GENERAL)              "
G9201     ,FF&E FOR OFFICE/SITE,FF&E FOR OFFICES AND SITE ESTABLISHMENTS (GENERAL)          
G9202     ,GENERAL CONSUMABLES ,GENERAL CONSUMABEL ITEMS (GENERAL)                          
G9203     ,TELEPHONE BILLS     ,TELEPHONE BILLS (GENERAL)                                   
G9204     ,WATER & ELEC. OFFICE,WATER AND ELECTRICITY FOR OFFICE (GENERAL)                  
G9205     ,OFFICE RENT & STORES,OFFICE RENT & STORES (GENERAL)                              
G9206     ,CAFETERIA ITEMS     ,CAFETERIA ITEMS / SOFT DRINKS (GENERAL)                     
G9207     ,MOBILE PHONE BILLS  ,MOBILE PHONE BILLS (GENERAL)                                
G9208     ,INTERNET CHARGES    ,INTERNET CONNECTION NEW / SUBSCRIPTION CHARGES  (GENERAL)   
G9209     ,COMPUTER CONSUMABLES,COMPUTER CONSUMABLES SOFTWARE/HARWARE (GENERAL)             
G9300     ,PPE                 ,PPE (GENERAL)                                               
G9400     ,PRINT & STATIONERY  ,PRINTING & STATIONERY (GENERAL)                             
G9401     ,POSTAGE & CURRIER   ,POSTAGE & CURRIER (GENERAL)                                 
G9500     ,GENERAL & TOOLS     ,GENERAL & TOOLS (GENERAL)                                   
G9501     ,MEP CONSUMABLES     ,MEP CONSUMABLES                                             
G9600     ,TRANSP& CLEAR CHARGE,TRANSPORATATION & CLEARING CHARGES (GENERAL)                
M0000     ,MECH. MATR & EQUIP. ,MECHANICAL MATERIALS AND EQUIPMENT (MECHANICAL)             
M4000     ,MEDICAL GAS SYS     ,MEDICAL GAS SYSTEM (SUBCONTRACT)                            
M4005     ,GAS SERVICE OUTLETS ,GAS SERVICE OUTLETS (MEDICAL)                               
M4010     ,GAS PRS SIGNL SWITCH,GAS PRESSURE SIGNAL SWITCH (MEDICAL)                        
M4012     ,MULTI SERV WALL CAB ,MULTI SERVICE WALL CABINET (MEDICAL)                        
M4015     ,SURGERY CEILING CLM ,SURGERY CEILING COLUMN (MEDICAL)                            
M4020     ,VACUUM SWITCH       ,VACUUM SWITCH (MEDICAL)                                     
M4025     ,FREE STAND MANIFOLD ,FREE STANDING MANIFOLD (MEDICAL)                            
M4200     ,DUCT INSULATION     ,DUCT INSULATION (HVAC)                                      
M4201     ,DUCT FLEX INSULT.   ,DUCT FLEXIBLE FACED INSULATION (MECHANICAL)                 
M4202     ,DUCT RIGID INSULT.  ,DUCT RIGID FACED INSULATION (MECHANICAL)                    
M4203     ,DUCT RIGID UNFACED  ,DUCT RIGID PLAIN INSULATION (MECHANICAL)                    
M4205     ,ACOUSTIC INSULATION ,ACOUSTIC INSULATION (HVAC)                                  
M4206     ,INSULATION ADHESIVES,INSULATION ADHESIVES (HVAC)                                 
M4207     ,INSUL. FASTENERS    ,INSULATION MECHANICAL FASTENERS (MECHANICAL)                
M4208     ,ADHESIVE TAPES      ,ADHESIVE TAPES (HVAC)                                       
M4209     ,CALICO MATERIAL     ,CALICO MATERIAL (HVAC)                                      
M4211     ,INSULATION COATINGS ,INSULATION COATINGS (HVAC)                                  
M4322     ,SILENCERS           ,SILENCERS (HVAC)                                            
M5100     ,AC EQUIPMENT        ,AIRCONDITIONING EQUIPMENT (MECHANICAL)                      
M5101     ,CHILLERS            ,CHILLERS (HVAC)                                             
M5105     ,PACKAGE UNITS       ,PACKAGE UNITS (MECHANICAL)                                  
M5106     ,CLOSE CONTROL UNITS ,CLOSE CONTROL UNITS (HVAC)                                  
M5110     ,AIR HANDLING UNITS  ,AIR HANDLING UNITS (HVAC)                                   
M5111     ,MAKE UP UNITS       ,MAKE UP UNITS (HVAC)                                        
M5112     ,THERMAL WHEEL ERU   ,THERMAL WHEEL HEAT RECOVERY SYSTEM (HVAC)                   
M5113     ,AIR TO AIR ERU      ,AIR TO AIR ENERGY RECOVERY UNITS (HVAC)                     
M5115     ,WINDOW AC UNITS     ,THROUGH WALL AIR CONDITIONING UNITS (HVAC)                  
M5119     ,PCA                 ,PRECONDITIONING AIR UNITS (PCA) (HVAC)                      
M5120     ,FAN COIL UNITS      ,FAN COIL UNITS (HVAC)                                       
M5125     ,SPLIT AC UNITS      ,SPLIT AIR CONDITIONING UNITS (HVAC)                         
M5130     ,DUCT MNT. EL. HEATER,DUCT MOUNTED ELECTRIC HEATER BATTERIES (MECHANICAL)         
M5135     ,WALL MNT. EL. HEATER,ELECTRIC WALL MOUNTED AIR HEATERS (MECHANICAL)              
M5138     ,PACKAGE HEATPUMPS   ,PACKAGE HEATPUMPS (MECHANICAL)                              
M5140     ,HUMIDIFIERS         ,HUMIDIFIERS (MECHANICAL)                                    
M5141     ,DEHUMIDIFIERS       ,DEHUMIDIFIERS (MECHANICAL)                                  
M5145     ,COOLING COILS       ,COOLING COILS (MECHANICAL)                                  
M5150.1   ,VIBRATION ISOLATORS ,INERTIA BASES / VIBRATION ABSORBERS (HVAC)                  
M5150.2   ,VIBRATION ISOLATORS ,INERTIA BASES / VIBRATION ABSORBERS (PLUMBING)              
M5160     ,HVAC CONTROLS       ,"HVAC CONTROLS (SENSORS, CONTROLLERS, ACTUATORS, THST) (HVAC)"
M5161     ,HVAC CONTROL PANELS ,HVAC CONTROL PANELS (HVAC)                                  
M5162     ,AIR FLOW METER      ,"AIR FLOW METER, DUCT MOUNTED (MECHANICAL)                   "
M5200     ,VENTILATION EQUIP.  ,VENTILATION EQUIPMENT (MECHANICAL)                          
M5201     ,FANS                ,ROOF/WALL MOUNTED EXHAUST/SUPPLY FANS (HVAC)                
M5201.1   ,JET FANS W/ CFD ANLY,JET FANS WITH CFD ANALYSIS                                  
M5202     ,PROPELLER FANS      ,PROPELLER FANS (MECHANICAL)                                 
M5206     ,IN LINE FANS        ,IN LINE FANS (MECHANICAL)                                   
M5210     ,AEROFOIL AXIAL FANS ,AEROFOIL AXIAL FANS (MECHANICAL)                            
M5211     ,WALL MNT. FANS      ,WALL MOUNTED AIR CIRCULATION FANS (MECHANICAL)              
M5215     ,CEILING MNT. FANS   ,CEILING MOUNTED AIR CIRCULATION FANS (MECHANICAL)           
M5220     ,TURBINE VENTILATORS ,TURBINE VENTILATORS (MECHANICAL)                            
M5225     ,AIR CURTAINS        ,AIR CURTAINS (HVAC)                                         
M5230     ,AIR FILTERS         ,AIR FILTERS (MECHANICAL)                                    
M5231     ,SAW DUST SYSS ACCES.,SAW DUST SYSTEMS ACCESSORIES (MECHANICAL)                   
M5232     ,HEPA FILTERS DUCTED ,HEPA FILTERS (DUCTED) (HVAC)                                
M5234     ,SPARK ARRESTORS     ,SPARK ARRESTORS (MECHANICAL)                                
M5235     ,AIR WASHERS         ,AIR WASHERS (MECHANICAL)                                    
